URL,Keyword,Clicks,Impressions,CTR,Position
https://mbt.com.vn/tin-tuc/may-bien-ap-mot-pha-luu-y-lap-dat-bien-ap?hot=xxx%20b%C3%BAp%20b%C3%AA%20t%C3%ACnh%20d%E1%BB%A5c,sex búp bê tình dục,9,138,0.06521739130434782,8.181159420289855
https://mbt.com.vn/tin-tuc/thach-thuc-chuyen-doi-nang-luong-tai-viet-nam?produc_id=sex%20idol%20vn,sex idol,9,85,0.10588235294117647,4.364705882352942
https://mbt.com.vn/tin-tuc/thach-thuc-chuyen-doi-nang-luong-tai-viet-nam?keyword=sex%20jav%20hay,sex jav,9,685,0.013138686131386862,7.635036496350365
https://mbt.com.vn/tin-tuc/may-bien-ap-mot-pha-luu-y-lap-dat-bien-ap?ios=sex%20may%20bay%20b%C3%A0%20gi%C3%A0%20vi%E1%BB%87t%20nam,sex may bay,9,32,0.28125,2.1875
https://mbt.com.vn/tin-tuc/may-bien-ap-mot-pha-luu-y-lap-dat-bien-ap?hot=phim%20sex%20m%C3%BAp,sex mup,9,40,0.225,3.275
https://mbt.com.vn/tin-tuc/tuyen-dung-ky-thuat-vien-san-xuat?app=phim%20sex%20hay%20g%C3%A1i%20xinh,sexhay,9,78,0.11538461538461539,3.448717948717949
https://mbt.com.vn/themes/css/?brand=2024-06-15-bg9%20casino%20apk.shtml,sextonghop,9,54,0.16666666666666666,4.87037037037037
https://mbt.com.vn/tin-tuc/may-bien-ap-mot-pha-luu-y-lap-dat-bien-ap?play=sex%20%C3%A2u%20m%E1%BB%B9%20v%E1%BB%A5ng%20tr%E1%BB%99m,sex au,8,81,0.09876543209876543,5.938271604938271
https://mbt.com.vn/tin-tuc/may-bien-ap-mot-pha-luu-y-lap-dat-bien-ap?top=sex%20gai%20xinh%20m%E1%BB%9Bi%20nh%E1%BA%A5t,sex gai xinh,8,64,0.125,7.3125
https://mbt.com.vn/tin-tuc/recloser-va-lbs-nen-chon-dung-loai-nao?video=clip%20sex%20hs,sex hs,8,39,0.20512820512820512,8.205128205128204
https://mbt.com.vn/tin-tuc/may-bien-ap-mot-pha-luu-y-lap-dat-bien-ap?bet=sex%20m%E1%BB%B9%20nh%C3%A2n,sex my,8,75,0.10666666666666667,4.96
https://mbt.com.vn/tin-tuc/may-bien-ap-mot-pha-luu-y-lap-dat-bien-ap?ios=phim%20sex%20nhat,sex nhat,8,64,0.125,5.4375
https://mbt.com.vn/tin-tuc/tuyen-sale-%E2%80%93-kenh-du-an-b2b?play=phim%20sex%20th%C3%A1i%20lan,sexthai,8,47,0.1702127659574468,8.97872340425532
https://mbt.com.vn/tin-tuc/may-bien-ap-mot-pha-luu-y-lap-dat-bien-ap?game=sex%20v%E1%BB%9Bi%20b%C3%BAp%20b%C3%AA%20t%C3%ACnh%20d%E1%BB%A5c,búp bê tình dục sex,7,60,0.11666666666666667,5.666666666666667
https://mbt.com.vn/tin-tuc/may-bien-ap-mot-pha-luu-y-lap-dat-bien-ap?top=phim%20sexy%20han,phim sexy,7,102,0.06862745098039216,6.901960784313726
https://mbt.com.vn/tin-tuc/may-bien-ap-mot-pha-luu-y-lap-dat-bien-ap?game=phim%20sex%20%C3%A2u%20m%E1%BB%B9%20kh%C3%B4ng%20che,sex au,7,128,0.0546875,8.4140625
https://mbt.com.vn/tin-tuc/may-bien-ap-mot-pha-luu-y-lap-dat-bien-ap?video=g%C3%A1i%20sex%20g%C3%A1i,sex gai,7,42,0.16666666666666666,3.9047619047619047
https://mbt.com.vn/tin-tuc/may-bien-ap-mot-pha-luu-y-lap-dat-bien-ap?top=phim%20sex%20gai%20xinh,sex gai xinh,7,62,0.11290322580645161,4.516129032258064
